customerKey,customerName,vendorItemNo,vendorNo,itemKey,itemDescription,marchio,codMarchio,sport,reparto,sesso,tipo
C02282-3A dei F_lli Antonini S_p_a_,CILLO DI BONI ITALO,343880-090,F03269,N04-00000265-3A dei F_lli Antonini S_p_a_,BENASSI JDI,NIKE,N04,TEMPO LIBERO PRIMAVERA,CALZATURE,UOMO,SCARPE
C02282-3A dei F_lli Antonini S_p_a_,CILLO DI BONI ITALO,343880-403,F03269,N04-00000267-3A dei F_lli Antonini S_p_a_,BENASSI JDI,NIKE,N04,TEMPO LIBERO PRIMAVERA,CALZATURE,UOMO,SCARPE
C02282-3A dei F_lli Antonini S_p_a_,CILLO DI BONI ITALO,942851-001,F03269,N04-00010740-3A dei F_lli Antonini S_p_a_,NIKE AIR ZOOM PEGASUS 35,NIKE,N04,RUNNING/CORSA,CALZATURE,UOMO,SCARPE
C03078-3A dei F_lli Antonini S_p_a_,CALZATURE TAGLIABUE 90' MINUTO,917803-001,F03269,N04-00003408-3A dei F_lli Antonini S_p_a_,THE NIKE PREMIER II FG,NIKE,N04,CALCIO,CALZATURE,UOMO,SCARPE
C03078-3A dei F_lli Antonini S_p_a_,CALZATURE TAGLIABUE 90' MINUTO,897766-002,F03269,N04-00003495-3A dei F_lli Antonini S_p_a_,TIEMPOX LIGERA IV TF,NIKE,N04,CALCIO,CALZATURE,UOMO,SCARPE
C03715-3A dei F_lli Antonini S_p_a_,MERCATO DELLA SCARPA DI LARDELLI DUCOLI SNC,343880-090,F03269,N04-00000265-3A dei F_lli Antonini S_p_a_,BENASSI JDI,NIKE,N04,TEMPO LIBERO PRIMAVERA,CALZATURE,UOMO,SCARPE
C03715-3A dei F_lli Antonini S_p_a_,MERCATO DELLA SCARPA DI LARDELLI DUCOLI SNC,343880-403,F03269,N04-00000267-3A dei F_lli Antonini S_p_a_,BENASSI JDI,NIKE,N04,TEMPO LIBERO PRIMAVERA,CALZATURE,UOMO,SCARPE
C03715-3A dei F_lli Antonini S_p_a_,MERCATO DELLA SCARPA DI LARDELLI DUCOLI SNC,832528-001,F03269,N04-00000275-3A dei F_lli Antonini S_p_a_,KAWA SHOWER,NIKE,N04,TEMPO LIBERO PRIMAVERA,CALZATURE,UOMO,SCARPE
C03715-3A dei F_lli Antonini S_p_a_,MERCATO DELLA SCARPA DI LARDELLI DUCOLI SNC,832528-400,F03269,N04-00000277-3A dei F_lli Antonini S_p_a_,KAWA SHOWER,NIKE,N04,TEMPO LIBERO PRIMAVERA,CALZATURE,UOMO,SCARPE
C03715-3A dei F_lli Antonini S_p_a_,MERCATO DELLA SCARPA DI LARDELLI DUCOLI SNC,897744-002,F03269,N04-00003538-3A dei F_lli Antonini S_p_a_,TIEMPO LIGERA IV FG,NIKE,N04,CALCIO,CALZATURE,UOMO,SCARPE
