customerKey,customerName,vendorItemNo,vendorNo,itemKey,itemDescription,marchio,codMarchio,sport,reparto,sesso,tipo
C00501-3A dei F_lli Antonini S_p_a_,FONTANA SPORT DI MARINO FONTANA SNC,954863-023,F04343,N29-00001411-3A dei F_lli Antonini S_p_a_,JDB RISE GRAPHIC SHORT,HADDAD JORDAN,J11,FASHION,ABBIGLIAMENTO,JUNIOR,PANTALONI
C00501-3A dei F_lli Antonini S_p_a_,FONTANA SPORT DI MARINO FONTANA SNC,954863-R78,F04343,N29-00001412-3A dei F_lli Antonini S_p_a_,JDB RISE GRAPHIC SHORT,HADDAD JORDAN,J11,FASHION,ABBIGLIAMENTO,JUNIOR,PANTALONI
C00501-3A dei F_lli Antonini S_p_a_,FONTANA SPORT DI MARINO FONTANA SNC,954863-G3A,F04343,N29-00001436-3A dei F_lli Antonini S_p_a_,JDB RISE GRAPHIC SHORT,HADDAD JORDAN,J11,FASHION,ABBIGLIAMENTO,JUNIOR,PANTALONI
C00501-3A dei F_lli Antonini S_p_a_,FONTANA SPORT DI MARINO FONTANA SNC,954757-001,F04343,N29-00001445-3A dei F_lli Antonini S_p_a_,23 ALPHA DRY SS PANEL TOP,HADDAD JORDAN,J11,FASHION,ABBIGLIAMENTO,JUNIOR,T-SHIRT
C00501-3A dei F_lli Antonini S_p_a_,FONTANA SPORT DI MARINO FONTANA SNC,954757-R78,F04343,N29-00001446-3A dei F_lli Antonini S_p_a_,23 ALPHA DRY SS PANEL TOP,HADDAD JORDAN,J11,FASHION,ABBIGLIAMENTO,JUNIOR,T-SHIRT
C00583-3A dei F_lli Antonini S_p_a_,SPORT CORONES SAS DI SAGMEISTER L.,807328-006,F03269,N04-00003808-3A dei F_lli Antonini S_p_a_,NIKE MD RUNNER 2 (TDV),NIKE,N04,TEMPO LIBERO PRIMAVERA,CALZATURE,JUNIOR,SCARPE
C00583-3A dei F_lli Antonini S_p_a_,SPORT CORONES SAS DI SAGMEISTER L.,AH7347-810,F03269,N04-00008659-3A dei F_lli Antonini S_p_a_,JR VAPOR 12 ACADEMY GS MG,NIKE,N04,CALCIO,CALZATURE,JUNIOR,SCARPE
C00583-3A dei F_lli Antonini S_p_a_,SPORT CORONES SAS DI SAGMEISTER L.,SX6830-011,F03269,N04-00010934-3A dei F_lli Antonini S_p_a_,U NK SQUAD OTC,NIKE,N04,CALCIO,ACCESSORI,UOMO,CALZE
C00583-3A dei F_lli Antonini S_p_a_,SPORT CORONES SAS DI SAGMEISTER L.,872654-482,F03269,N04-00011119-3A dei F_lli Antonini S_p_a_,B NSW NIKE TRK SUIT POLY,NIKE,N04,MULTISPORT,ABBIGLIAMENTO,JUNIOR,TUTA
C00583-3A dei F_lli Antonini S_p_a_,SPORT CORONES SAS DI SAGMEISTER L.,SP2120-012,F03269,N04-00012927-3A dei F_lli Antonini S_p_a_,NK MERC LT GRD,NIKE,N04,CALCIO,ACCESSORI,UNISEX,PROTEZIONI
C00583-3A dei F_lli Antonini S_p_a_,SPORT CORONES SAS DI SAGMEISTER L.,SP2120-010,F03269,N04-00012995-3A dei F_lli Antonini S_p_a_,NK MERC LT GRD,NIKE,N04,CALCIO,ACCESSORI,UNISEX,PROTEZIONI
C00583-3A dei F_lli Antonini S_p_a_,SPORT CORONES SAS DI SAGMEISTER L.,907255-406,F03269,N04-00013034-3A dei F_lli Antonini S_p_a_,NIKE STAR RUNNER (TDV),NIKE,N04,TEMPO LIBERO PRIMAVERA,CALZATURE,JUNIOR,SCARPE
C00583-3A dei F_lli Antonini S_p_a_,SPORT CORONES SAS DI SAGMEISTER L.,GS0368-702,F03269,N04-00013083-3A dei F_lli Antonini S_p_a_,NK GK MATCH JR-FA18,NIKE,N04,CALCIO,ACCESSORI,JUNIOR,GUANTI
C00583-3A dei F_lli Antonini S_p_a_,SPORT CORONES SAS DI SAGMEISTER L.,939626-478,F03269,N04-00013432-3A dei F_lli Antonini S_p_a_,B NSW TRK SUIT BF CORE,NIKE,N04,MULTISPORT,ABBIGLIAMENTO,JUNIOR,TUTA
C00583-3A dei F_lli Antonini S_p_a_,SPORT CORONES SAS DI SAGMEISTER L.,922859-600,F03269,N04-00013494-3A dei F_lli Antonini S_p_a_,DOWNSHIFTER 8 (TDV),NIKE,N04,TEMPO LIBERO PRIMAVERA,CALZATURE,JUNIOR,SCARPE
C00583-3A dei F_lli Antonini S_p_a_,SPORT CORONES SAS DI SAGMEISTER L.,AH8286-491,F03269,N04-00013502-3A dei F_lli Antonini S_p_a_,G NSW TRK SUIT PE,NIKE,N04,MULTISPORT,ABBIGLIAMENTO,JUNIOR,TUTA
C00583-3A dei F_lli Antonini S_p_a_,SPORT CORONES SAS DI SAGMEISTER L.,614590-399,F03269,N04-00014156-3A dei F_lli Antonini S_p_a_,Y NK TRUE CAP FUTURA,NIKE,N04,MULTISPORT,ABBIGLIAMENTO,JUNIOR,CAPPELLO
C00583-3A dei F_lli Antonini S_p_a_,SPORT CORONES SAS DI SAGMEISTER L.,AH7362-060,F03269,N04-00014499-3A dei F_lli Antonini S_p_a_,SUPERFLY 6 ACADEMY MG,NIKE,N04,CALCIO,CALZATURE,UOMO,SCARPE
